,indicator,country,countryiso3code,date,value,unit,obs_status,decimal
31,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2011,20.6,,,0
32,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'KE', 'value': 'Kenya'}",KEN,2010,22.2,,,0
33,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'AO', 'value': 'Angola'}",AGO,2020,20.8,,,0
34,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'AO', 'value': 'Angola'}",AGO,2019,17.9,,,0
35,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'AO', 'value': 'Angola'}",AGO,2018,15.7,,,0
36,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'AO', 'value': 'Angola'}",AGO,2017,15.4,,,0
37,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'AO', 'value': 'Angola'}",AGO,2016,15.4,,,0
38,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'AO', 'value': 'Angola'}",AGO,2015,14.5,,,0
39,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'AO', 'value': 'Angola'}",AGO,2014,13.7,,,0
40,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'AO', 'value': 'Angola'}",AGO,2013,14.3,,,0
41,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'AO', 'value': 'Angola'}",AGO,2012,15.1,,,0
42,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'AO', 'value': 'Angola'}",AGO,2011,16.4,,,0
43,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'AO', 'value': 'Angola'}",AGO,2010,23.9,,,0
44,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'LR', 'value': 'Liberia'}",LBR,2020,38.3,,,0
45,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'LR', 'value': 'Liberia'}",LBR,2019,39.2,,,0
46,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'LR', 'value': 'Liberia'}",LBR,2018,37.5,,,0
47,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'LR', 'value': 'Liberia'}",LBR,2017,36.6,,,0
48,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'LR', 'value': 'Liberia'}",LBR,2016,36.3,,,0
49,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'LR', 'value': 'Liberia'}",LBR,2015,36.4,,,0
50,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'LR', 'value': 'Liberia'}",LBR,2014,36.8,,,0
51,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'LR', 'value': 'Liberia'}",LBR,2013,36.1,,,0
52,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'LR', 'value': 'Liberia'}",LBR,2012,36.2,,,0
53,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'LR', 'value': 'Liberia'}",LBR,2011,35.7,,,0
54,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'LR', 'value': 'Liberia'}",LBR,2010,34.5,,,0
55,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'ET', 'value': 'Ethiopia'}",ETH,2020,24.9,,,0
56,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'ET', 'value': 'Ethiopia'}",ETH,2019,21.9,,,0
57,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'ET', 'value': 'Ethiopia'}",ETH,2018,18.2,,,0
58,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'ET', 'value': 'Ethiopia'}",ETH,2017,15.7,,,0
59,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'ET', 'value': 'Ethiopia'}",ETH,2016,14.4,,,0
60,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'ET', 'value': 'Ethiopia'}",ETH,2015,14.8,,,0
61,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'ET', 'value': 'Ethiopia'}",ETH,2014,15.9,,,0
62,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'ET', 'value': 'Ethiopia'}",ETH,2013,17.7,,,0
63,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'ET', 'value': 'Ethiopia'}",ETH,2012,19.4,,,0
64,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'ET', 'value': 'Ethiopia'}",ETH,2011,20.9,,,0
65,"{'id': 'SN.ITK.DEFC.ZS', 'value': 'Prevalence of undernourishment (% of population)'}","{'id': 'ET', 'value': 'Ethiopia'}",ETH,2010,24.7,,,0
